run_date,run_id,run_timestamp,pattern_type,entity_name,market_or_region,residential_sector,first_seen_date,last_seen_date,observation_count,current_run_signal_count,recurring_lender_score,recurring_capital_partner_score,refinancing_frequency,construction_financing_frequency,capital_flow_direction,debt_market_stress_label,capital_rotation_signal,capital_flow_strength_score
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Institutional Capital Flow,Alliance Residential,Sun Belt,Mixed-Use Residential,2026-05-18,2026-05-18,17,0,0,100,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Recurring Lender,Berkadia,Sun Belt,Multifamily,2026-05-14,2026-05-14,24,0,100,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Recurring Capital Partner,Blackstone,New York,General Residential,2026-05-14,2026-05-19,50,1,0,100,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Institutional Capital Flow,Blackstone,New York,General Residential,2026-05-14,2026-05-19,50,1,0,100,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Recurring Lender,CBRE,Other / Unknown,Apartment,2026-05-18,2026-05-18,17,0,100,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Recurring Lender,CBRE,Other / Unknown,Affordable Housing,2026-05-14,2026-05-14,24,0,100,0,0,24,Fading,No Clear Stress,Capital flow fading,100
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Recurring Lender,CBRE,Sun Belt,Multifamily,2026-05-19,2026-05-19,7,1,100,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Market-Level Capital Concentration,California,California,Student Housing,2026-05-14,2026-05-14,22,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Market-Level Capital Concentration,California,California,Affordable Housing,2026-05-18,2026-05-19,58,3,0,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Market-Level Capital Concentration,California,California,Multifamily,2026-05-18,2026-05-18,19,0,0,0,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Market-Level Capital Concentration,California,California,General Residential,2026-05-19,2026-05-19,7,1,0,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
