run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,asset_signal_id,canonical_article_id,title,original_url,published,summary,article_integrity_status,article_integrity_reason,primary_display_section,secondary_display_sections,repeat_exposure_status,has_project_anchor,project_anchor_reason,project_anchor_confidence,development_lifecycle_hint,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,access_status,canonical_asset_or_project_name,raw_project_or_property_name,address_or_location_clue,intersection_or_corridor,neighborhood_or_submarket,city,state_or_region,residential_sector,asset_type,gp_or_developer,owner_or_sponsor,lender_or_capital_partner,entitlement_status,permit_status,construction_status,delivery_or_timing_reference,unit_count,dollar_amount,site_size_or_area,deal_or_project_type,asset_strategy_signal,site_control_signal,execution_stage,primary_development_category,primary_category_reason,asset_opportunity_score,asset_risk_score,woomi_asset_relevance,recommended_asset_follow_up,evidence_article_title,source,url,confidence_level
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0042,Disposition / Exit - California - Berkadia Negotiates $6M Multifamily Sale in Lawndale California,100,AST-20260623-026,art_6e4f76536a7c263b,Berkadia Negotiates $6M Multifamily Sale in Lawndale California,https://yieldpro.com/2026/06/grevillea-avenue/,"Tue, 23 Jun 2026 19:07:53 +0000","Deal boom News Pacific region Facebook Twitter Linkedin Berkadia , a distinguished leader in the commercial real estate sector, announced the sale of the Grevillea Apartments , a 24-unit, garden-style multifamily property in Lawndale, California. Managing Director Steffan Braunlich of Berkadia El Segundo led the transaction on behalf of a private South Bay based family trust. The deal closed on June 9. The Grevillea Apartments sold for $6 million to Newport Beach-based MBI Equity Partners at a 5",suspicious_mismatch,title/source/url metadata are internally consistent; title and original_url slug appear to reference different articles,Development Activity,GP / Capital Activity,new_or_fresh,,,,,2026-06-23,2026-06-23,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,open,Disposition / Exit - California - Berkadia Negotiates $6M Multifamily Sale in Lawndale California,Disposition / Exit - California - Berkadia Negotiates $6M Multifamily Sale in Lawndale California,California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Berkadia,Berkadia,Berkadia,Unknown,Unknown,Unknown,No explicit timing reference,,$6M; $6 million; $6m,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: disposition,100,56,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Berkadia Negotiates $6M Multifamily Sale in Lawndale California,Yield PRO,https://yieldpro.com/2026/06/grevillea-avenue/,Medium
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0050,Acquisition - California - Marcus & Millichap Brokers $19.75M Sale and $13.3M Financing of 64-Unit Multifamily Proper...,100,AST-20260623-029,art_1a34894158080cac,Marcus & Millichap Brokers $19.75M Sale and $13.3M Financing of 64-Unit Multifamily Property in Livermore California,https://yieldpro.com/2026/06/briarwood-apartments-livermore/,"Tue, 23 Jun 2026 18:20:36 +0000","Deal boom News Pacific region Facebook Twitter Linkedin Marcus & Millichap (NYSE: MMI) , a leading commercial real estate brokerage firm specializing in investment sales, financing, research and advisory services, announced the sale and financing of Briarwood Apartments , a 64-unit multifamily property in Livermore, California. The property sold for $19.75 million. Marcus & Millichap Capital Corporation (MMCC), a subsidiary of Marcus & Millichap, arranged $13.3 million in acquisition financing. ",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity; Market Intelligence,new_or_fresh,,,,,2026-06-23,2026-06-23,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,open,Acquisition - California - Marcus & Millichap Brokers $19.75M Sale and $13.3M Financing of 64-Unit Multifamily Proper...,Acquisition - California - Marcus & Millichap Brokers $19.75M Sale and $13.3M Financing of 64-Unit Multifamily Proper...,California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Marcus & Millichap,Marcus & Millichap,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$19.75M; $13.3M; $19.75 million,,Acquisition,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: sale,100,32,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Marcus & Millichap Brokers $19.75M Sale and $13.3M Financing of 64-Unit Multifamily Property in Livermore California,Yield PRO,https://yieldpro.com/2026/06/briarwood-apartments-livermore/,Medium
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0044,Disposition / Exit - California - Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale,100,AST-20260623-027,art_6e05306f1e52dc16,Yorba Linda Parking Lot Sells for Townhome Redevelopment,https://www.connectcre.com/stories/yorba-linda-parking-lot-sells-for-townhome-redevelopment/,"Tue, 09 Jun 2026 20:35:09 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Orange County + Apartments | June 9, 2026 By: Paul Bubny Yorba Linda Parking Lot Sells for Townhome Redevelopment CBRE arranged the $8.12-million sale of a 1.9‑acre residential development site at 4861 Liverpool St. in Yorba Linda. The property, currently a parking lot, was sold by Messiah Lutheran Church. The buyer, an Orange County–based housing developer, pl",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,repeat_penalized,,,,,2026-06-09,2026-06-23,14,recent_4_14d,recent,published date parsed; article age 14 day(s),55,open,Disposition / Exit - California - Yorba Linda Parking Lot Sells for Townhome Redevelopment,Disposition / Exit - California - Yorba Linda Parking Lot Sells for Townhome Redevelopment,California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,CBRE,CBRE,CBRE,Unknown,Unknown,Unknown,No explicit timing reference,,$8.12; $8.12,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: disposition,100,32,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Yorba Linda Parking Lot Sells for Townhome Redevelopment,Connect CRE Orange County,https://www.connectcre.com/stories/yorba-linda-parking-lot-sells-for-townhome-redevelopment/,Medium
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0002,Entitlement / Permitting - Los Angeles / California - Work beginning for Taix redevelopment at 1911 Sunset Blvd. in Echo Park,100,AST-20260623-036,art_e78785136696dbed,Work beginning for Taix redevelopment at 1911 Sunset Blvd. in Echo Park,https://la.urbanize.city/post/work-beginning-taix-redevelopment-1911-sunset-blvd-echo-park,"Mon, 22 Jun 2026 13:15:00 +0000","Work beginning for Taix redevelopment at 1911 Sunset Blvd. in Echo Park | Urbanize LA Skip to main content Advertisement Advertisement Three months after the closure and hiatus of Taix French restaurant in Echo Park , the eatery's longtime home has been razed to make way for the mixed-use apartment complex that will take its place. The project at 1911 W. Sunset Boulevard , which is being developed by Holland Partner Group , calls for the construction of a six-story building featuring 166 apartme",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,,,,,2026-06-22,2026-06-23,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),70,access_limited,Entitlement / Permitting - Los Angeles / California - Work beginning for Taix redevelopment at 1911 Sunset Blvd. in Echo Park,Entitlement / Permitting - Los Angeles / California - Work beginning for Taix redevelopment at 1911 Sunset Blvd. in Echo Park,1911 Sunset Blvd,General submarket monitoring,Los Angeles / California,Los Angeles,Unknown,Affordable Housing,Mixed-Use Residential,Holland Partner Group,Holland Partner Group,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,166 apartments,,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,100,26,Relevant to entitlement monitoring,"Track entitlement, permit, density bonus, and construction-readiness milestones",Work beginning for Taix redevelopment at 1911 Sunset Blvd. in Echo Park,Urbanize LA,https://la.urbanize.city/post/work-beginning-taix-redevelopment-1911-sunset-blvd-echo-park,High
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0059,Refinancing - Dallas / Texas - Harbor Group Lands $124.6M Refi on Las Colinas Mixed-Use Venture,100,AST-20260623-032,art_fb6cb2cd18ee7098,Harbor Group Lands $124.6M Refi on Las Colinas Mixed-Use Venture,https://www.connectcre.com/stories/harbor-group-lands-124-6m-refi-on-las-colinas-mixed-use-venture/,"Tue, 23 Jun 2026 16:20:18 +0000","Texas CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. Texas + Dallas-Fort Worth + Apartments | June 23, 2026 By: Mike Boyd Harbor Group Lands $124.6M Refi on Las Colinas Mixed-Use Venture Berkadia arranged a $124.6 million loan on behalf of Harbor Group International (HGI) to refinance Alesio Urban Center, a mixed-use community featuring 908 apartment homes and 55,499 square feet of retail and commercial space in the Las Colinas su",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,new_or_fresh,,,,,2026-06-23,2026-06-23,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,open,Refinancing - Dallas / Texas - Harbor Group Lands $124.6M Refi on Las Colinas Mixed-Use Venture,Refinancing - Dallas / Texas - Harbor Group Lands $124.6M Refi on Las Colinas Mixed-Use Venture,Dallas,Mixed-use corridor,Dallas,Los Angeles,Unknown,Mixed-Use Residential,BTR / Single-Family Rental,Harbor Group International,Harbor Group International,Berkadia,Unknown,Unknown,Unknown,No explicit timing reference,,$124.6M; $124.6M; $124.6 million,,Refinancing,Refinancing / Recapitalization,Land / parcel referenced,Site Search / Early Signal,excluded,transaction / capital guard: refinancing,99,41,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",Harbor Group Lands $124.6M Refi on Las Colinas Mixed-Use Venture,Connect CRE Apartments,https://www.connectcre.com/stories/harbor-group-lands-124-6m-refi-on-las-colinas-mixed-use-venture/,Medium
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0050,Acquisition - California - Marcus & Millichap Brokers $19.75M Sale and $13.3M Financing of 64-Unit Multifamily Proper...,100,AST-20260623-033,art_8a7aef04c6c29e62,Livermore Portfolio Deal Finalized with Sale of Briarwood Apartments,https://www.connectcre.com/stories/livermore-portfolio-deal-finalized-with-sale-of-briarwood-apartments/,"Tue, 23 Jun 2026 20:51:57 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Apartments | June 23, 2026 By: Paul Bubny Livermore Portfolio Deal Finalized with Sale of Briarwood Apartments Marcus & Millichap arranged the sale and financing of Briarwood Apartments, a 64-unit multifamily property at 3815 East Ave. in Livermore,. The property sold for $19.75 million. Marcus & Millichap Capital Corporation (MMCC), a subsidiary of Marcus & Mi",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,new_or_fresh,,,,,2026-06-23,2026-06-23,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,open,Acquisition - California - Livermore Portfolio Deal Finalized with Sale of Briarwood Apartments,Acquisition - California - Livermore Portfolio Deal Finalized with Sale of Briarwood Apartments,California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Marcus & Millichap,Marcus & Millichap,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$19.75 million; $19.75 million; $13.3 million,,Acquisition,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: sale,98,31,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Livermore Portfolio Deal Finalized with Sale of Briarwood Apartments,Connect CRE Apartments,https://www.connectcre.com/stories/livermore-portfolio-deal-finalized-with-sale-of-briarwood-apartments/,Medium
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0021,Yorba Linda Parking Lot Sells for Townhome Redevelopment,100,AST-20260623-011,art_6e05306f1e52dc16,Yorba Linda Parking Lot Sells for Townhome Redevelopment,https://www.connectcre.com/stories/yorba-linda-parking-lot-sells-for-townhome-redevelopment/,"Tue, 09 Jun 2026 20:35:09 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Orange County + Apartments | June 9, 2026 By: Paul Bubny Yorba Linda Parking Lot Sells for Townhome Redevelopment CBRE arranged the $8.12-million sale of a 1.9‑acre residential development site at 4861 Liverpool St. in Yorba Linda. The property, currently a parking lot, was sold by Messiah Lutheran Church. The buyer, an Orange County–based housing developer, pl",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,repeat_penalized,True,address/street: 4861 liverpool st; site/parcel signal: site; project/asset term: development,high,Site Acquisition / Site Control,2026-06-09,2026-06-23,14,recent_4_14d,recent,published date parsed; article age 14 day(s),55,open,Yorba Linda Parking Lot Sells for Townhome Redevelopment,Yorba Linda Parking Lot Sells for Townhome Redevelopment,4861 Liverpool St,General submarket monitoring,Orange County,Los Angeles,California,Apartment,Apartment,CBRE,CBRE,Unknown,Unknown,Unknown,Unknown,2026,,,,Acquisition / Site Control,Acquisition / Site Control,Site acquired,Site Controlled,site_parcel_activity,site/parcel signal with project anchor: development site,97,24,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Yorba Linda Parking Lot Sells for Townhome Redevelopment,Connect CRE Orange County,https://www.connectcre.com/stories/yorba-linda-parking-lot-sells-for-townhome-redevelopment/,High
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0025,Entitlement / Permitting - California - Affordable housing takes shape at 733 S. Burlington Ave. in Westlake,80,AST-20260623-042,art_2f744b012746369d,Affordable housing takes shape at 733 S. Burlington Ave. in Westlake,https://la.urbanize.city/post/affordable-housing-takes-shape-733-s-burlington-ave-westlake,"Tue, 23 Jun 2026 13:10:00 +0000","Affordable housing takes shape at 733 S. Burlington Ave. in Westlake | Urbanize LA Skip to main content Advertisement Advertisement In Westlake , framing is taking shape for a new affordable housing complex just south of 7th Street, per a social media post from Kevin Tsai Architecture. The project from KLW Investment, located at 733 S. Burlington Avenue, consists of a seven-story building that will feature 79 studio and one-bedroom apartments without on-site parking. In addition to streamlined a",valid,title/source/url metadata are internally consistent,Development Activity,Market Intelligence,new_or_fresh,,,,,2026-06-23,2026-06-23,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),88,access_limited,Entitlement / Permitting - California - Affordable housing takes shape at 733 S. Burlington Ave. in Westlake,Entitlement / Permitting - California - Affordable housing takes shape at 733 S. Burlington Ave. in Westlake,733 S. Burlington Ave,General submarket monitoring,California,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,79 apartments,,,Entitlement / Permitting,Affordable / Density Bonus Strategy,Project under entitlement,Unknown,approval_watch,matched permit,95,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Affordable housing takes shape at 733 S. Burlington Ave. in Westlake,Urbanize LA,https://la.urbanize.city/post/affordable-housing-takes-shape-733-s-burlington-ave-westlake,High
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0111,Construction Financing - New York - Walker & Dunlop Arranges $375M Construction Loan for Landmark Jersey City Multifamily Deve...,100,AST-20260623-034,art_078a3f89aa7a2306,Walker & Dunlop Arranges $375M Construction Loan for Landmark Jersey City Multifamily Development,https://yieldpro.com/2026/06/jfk-boulevard-jersey-city/,"Tue, 23 Jun 2026 18:36:44 +0000","Deal boom News Facebook Twitter Linkedin Walker & Dunlop , Inc. announced today that it has arranged a $375 million construction loan to finance JFK Boulevard , Nasser Freres’ transformative mixed-use development in the heart of Journal Square in Jersey City, New Jersey. The financing, provided by Madison Realty Capital, will support construction of the project in Journal Square, a significant addition to one of the New York metropolitan area’s fastest-growing transit-oriented districts. Walker ",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,new_or_fresh,,,,,2026-06-23,2026-06-23,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,open,Construction Financing - New York - Walker & Dunlop Arranges $375M Construction Loan for Landmark Jersey City Multifamily Deve...,Construction Financing - New York - Walker & Dunlop Arranges $375M Construction Loan for Landmark Jersey City Multifamily Deve...,New York,General submarket monitoring,New York,Los Angeles,New York,Mixed-Use Residential,Mixed-Use Residential,Walker & Dunlop,Walker & Dunlop,walker & dunlop,Unknown,Unknown,Unknown,No explicit timing reference,,$375M; $375 million; $375m,,Construction Financing,Refinancing / Recapitalization,Land / parcel referenced,Site Search / Early Signal,excluded,transaction / capital guard: loan,95,38,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",Walker & Dunlop Arranges $375M Construction Loan for Landmark Jersey City Multifamily Development,Yield PRO,https://yieldpro.com/2026/06/jfk-boulevard-jersey-city/,Medium
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0144,"Acquisition - San Francisco / California - Jackson Square Sells 108-Unit Apartment Complex in Everett, Washington for $24.5M",100,AST-20260623-038,art_3e31f5d2352dffe8,"Jackson Square Sells 108-Unit Apartment Complex in Everett, Washington for $24.5M",https://rebusinessonline.com/jackson-square-sells-108-unit-apartment-complex-in-everett-washington-for-24-5m/,2026-06-23T13:37:17Z,"The 108-unit Latitude in Everett, Wash., has traded between two San Francisco-based parties for $24.5 million. IPA arranged the sale. Acquisitions Multifamily Washington Western Jackson Square Sells 108-Unit Apartment Complex in Everett, Washington for $24.5M by Amy Works June 23, 2026 June 23, 2026 9 EVERETT, WASH. — Jackson Square Properties has sold Latitude, a 108-unit multifamily property in Everett’s Lake Stickney neighborhood, to Bridge Housing for approximately $25.4 million. Developed i",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,new_or_fresh,,,,,2026-06-23,2026-06-23,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,open,"Acquisition - San Francisco / California - Jackson Square Sells 108-Unit Apartment Complex in Everett, Washington for $24.5M","Acquisition - San Francisco / California - Jackson Square Sells 108-Unit Apartment Complex in Everett, Washington for $24.5M",San Francisco,General submarket monitoring,San Francisco,Los Angeles,Unknown,Apartment,Apartment,IPA,IPA,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$24.5M; $24.5 million; $24.5M,,Acquisition,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: sells,95,25,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,"Jackson Square Sells 108-Unit Apartment Complex in Everett, Washington for $24.5M",REBusiness Online,https://rebusinessonline.com/jackson-square-sells-108-unit-apartment-complex-in-everett-washington-for-24-5m/,Medium
