run_date,run_id,primary_topic,article_count,high_confidence_count,medium_confidence_count,low_confidence_count,unknown_count,top_markets,top_sources
2026-06-08,20260608-230157-81fea293,capital_markets,17,11,5,1,0,Other / Unknown (4); California (4); New York City / New York (2); Los Angeles / California (2); New York (1),Commercial Observer (4); Yield PRO (2); Connect CRE (2); Connect CRE Apartments (2); Connect CRE Orange County (2)
2026-06-08,20260608-230157-81fea293,supply_demand,16,2,0,14,0,Other / Unknown (9); National (3); Miami / Florida (2); Phoenix / Arizona (1); Sun Belt (1),NAHB Eye on Housing - Multifamily (8); Multifamily Executive (2); Connect CRE South Florida (2); Multifamily Dive (2); Connect CRE Phoenix (1)
2026-06-08,20260608-230157-81fea293,development_pipeline,14,1,8,5,0,Other / Unknown (5); California (2); Atlanta / Georgia (2); Los Angeles / California (1); Phoenix / Arizona (1),REBusiness Online (2); NAHB Eye on Housing - Multifamily (2); Urbanize LA (1); Connect CRE Apartments (1); Connect CRE Phoenix (1)
2026-06-08,20260608-230157-81fea293,gp_activity,12,0,0,3,9,Other / Unknown (3); National (3); Virginia (1); California (1); New York City / New York (1),NAHB Eye on Housing - Multifamily (3); Multifamily Dive (2); Connect CRE (1); REBusiness Online (1); Connect CRE Orange County (1)
2026-06-08,20260608-230157-81fea293,transaction_market,11,2,4,5,0,California (2); Los Angeles / California (2); Seattle (2); Miami / Florida (1); Florida (1),Yield PRO (6); REBusiness Online (1); Connect CRE Apartments (1); Connect CRE California (1); Commercial Observer (1)
2026-06-08,20260608-230157-81fea293,institutional_capital,6,1,3,2,0,Other / Unknown (2); Miami / Florida (1); Texas (1); New York City / New York (1); Houston / Texas (1),Connect CRE Texas (2); Connect CRE South Florida (1); Connect CRE Apartments (1); HousingWire (1); Bisnow (1)
2026-06-08,20260608-230157-81fea293,other,6,0,0,0,6,Los Angeles / California (2); San Francisco / California (2); Other / Unknown (1); New York City / New York (1),Urbanize LA (4); SF YIMBY (2)
2026-06-08,20260608-230157-81fea293,macro_financing,5,0,0,0,5,Other / Unknown (3); Los Angeles / California (1); California (1),NAHB Eye on Housing - Multifamily (2); Urbanize LA (1); REBusiness Online (1); Multifamily Executive (1)
2026-06-08,20260608-230157-81fea293,research_data,3,0,0,0,3,California (2); Los Angeles / California (1),Urbanize LA (3)
2026-06-08,20260608-230157-81fea293,operations_property_management,1,0,0,0,1,National (1),Bisnow (1)
