run_date,run_id,raw_entity,canonical_entity,entity_type,alias_matched,confidence_score,source_file,occurrence_count,notes
2026-06-02,20260602-045446-a07523c4,Acquisition - Other / Unknown - SAGE Arranges $21.5M Sale of Northern New Jersey Apartment Building,Acquisition - Other / Unknown - SAGE Arranges $21.5M Sale of Northern New Jersey Apartment Building,Project / Deal,,40,relationship_graph.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Alliance Residential,Alliance Residential,Developer / GP,,40,deal_pipeline.csv,2,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Alliance Residential,Alliance Residential,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Alliance Residential,Alliance Residential,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Alliance Residential,Alliance Residential,Developer / GP,,40,relationship_graph.csv,6,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Arizona,Arizona,Market / Region,,40,regional_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Avison Young,Avison Young,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Avison Young,Avison Young,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,BHI,BHI,Developer / GP,,40,deal_pipeline.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,BHI,BHI,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,BHI,BHI,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,BHI,BHI,Developer / GP,,40,relationship_graph.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Ballast,Ballast,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Ballast,Ballast,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Baron Property Group,Baron Property Group,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Baron Property Group,Baron Property Group,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Bascom Group,Bascom Group,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Bascom Group,Bascom Group,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Basis Investment Group,Basis Investment Group,Developer / GP,,40,deal_pipeline.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Basis Investment Group,Basis Investment Group,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Basis Investment Group,Basis Investment Group,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Basis Investment Group,Basis Investment Group,Developer / GP,,40,relationship_graph.csv,3,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Berkadia,Berkadia,Developer / GP,Berkadia,100,deal_pipeline.csv,3,exact canonical match
2026-06-02,20260602-045446-a07523c4,Berkadia,Berkadia,Developer / GP,Berkadia,100,gp_intelligence.csv,1,exact canonical match
2026-06-02,20260602-045446-a07523c4,Berkadia,Berkadia,Developer / GP,Berkadia,100,institutional_relationships.csv,1,exact canonical match
2026-06-02,20260602-045446-a07523c4,Berkadia,Berkadia,Developer / GP,Berkadia,100,relationship_graph.csv,12,exact canonical match
2026-06-02,20260602-045446-a07523c4,berkadia,Berkadia,Lender / Debt Provider,Berkadia,75,deal_pipeline.csv,3,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,berkadia,Berkadia,Lender / Debt Provider,Berkadia,75,relationship_graph.csv,3,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,Refinancing - Sarasota / Florida - Berkadia Secures $82.1M Loan to Refinance Class A Multifamily Asset in Sarasota County Flo...,Berkadia,Project / Deal,Berkadia,60,relationship_graph.csv,1,partial match
2026-06-02,20260602-045446-a07523c4,Berkshire Hathaway,Berkshire Hathaway,Developer / GP,,40,deal_pipeline.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Berkshire Hathaway,Berkshire Hathaway,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Berkshire Hathaway,Berkshire Hathaway,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Berkshire Hathaway,Berkshire Hathaway,Developer / GP,,40,relationship_graph.csv,3,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Blackstone,Blackstone,Developer / GP,Blackstone,100,gp_intelligence.csv,1,exact canonical match
2026-06-02,20260602-045446-a07523c4,Blackstone,Blackstone,Developer / GP,Blackstone,100,institutional_relationships.csv,1,exact canonical match
2026-06-02,20260602-045446-a07523c4,CBRE,CBRE,Developer / GP,CBRE,100,deal_pipeline.csv,2,exact canonical match
2026-06-02,20260602-045446-a07523c4,CBRE,CBRE,Developer / GP,CBRE,100,gp_intelligence.csv,1,exact canonical match
2026-06-02,20260602-045446-a07523c4,CBRE,CBRE,Developer / GP,CBRE,100,institutional_relationships.csv,1,exact canonical match
2026-06-02,20260602-045446-a07523c4,CBRE,CBRE,Developer / GP,CBRE,100,relationship_graph.csv,8,exact canonical match
2026-06-02,20260602-045446-a07523c4,cbre,CBRE,Lender / Debt Provider,CBRE,75,deal_pipeline.csv,2,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,cbre,CBRE,Lender / Debt Provider,CBRE,75,relationship_graph.csv,2,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,California,California,Market / Region,California,100,articles.csv,7,exact canonical match
2026-06-02,20260602-045446-a07523c4,California,California,Market / Region,California,100,deal_pipeline.csv,13,exact canonical match
2026-06-02,20260602-045446-a07523c4,California,California,Market / Region,California,100,regional_intelligence.csv,1,exact canonical match
2026-06-02,20260602-045446-a07523c4,California,California,Market / Region,California,100,relationship_graph.csv,7,exact canonical match
2026-06-02,20260602-045446-a07523c4,Orange County,California,Market / Region,Orange County,75,deal_pipeline.csv,1,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,Orange County,California,Market / Region,Orange County,75,relationship_graph.csv,1,case or punctuation normalized match
2026-06-02,20260602-045446-a07523c4,Riverside / California,California,Market / Region,California,60,articles.csv,2,partial match
2026-06-02,20260602-045446-a07523c4,Riverside / California,California,Market / Region,California,60,deal_pipeline.csv,2,partial match
2026-06-02,20260602-045446-a07523c4,Riverside / California,California,Market / Region,California,60,relationship_graph.csv,2,partial match
2026-06-02,20260602-045446-a07523c4,San Francisco / California,California,Market / Region,California,60,articles.csv,2,partial match
2026-06-02,20260602-045446-a07523c4,San Francisco / California,California,Market / Region,California,60,deal_pipeline.csv,2,partial match
2026-06-02,20260602-045446-a07523c4,San Francisco / California,California,Market / Region,California,60,relationship_graph.csv,2,partial match
2026-06-02,20260602-045446-a07523c4,Santa Monica / California,California,Market / Region,California,60,articles.csv,2,partial match
2026-06-02,20260602-045446-a07523c4,Santa Monica / California,California,Market / Region,California,60,deal_pipeline.csv,2,partial match
2026-06-02,20260602-045446-a07523c4,Santa Monica / California,California,Market / Region,California,60,relationship_graph.csv,2,partial match
2026-06-02,20260602-045446-a07523c4,Acquisition - California - Adam Neumann’s Flow Makes First West Coast Acquisition,California,Project / Deal,California,60,relationship_graph.csv,1,partial match
2026-06-02,20260602-045446-a07523c4,Disposition / Exit - California - Carlsbad Lifestyle Center Fetches $91M in Sale to 11North,California,Project / Deal,California,60,relationship_graph.csv,1,partial match
2026-06-02,20260602-045446-a07523c4,"Entitlement / Permitting - San Francisco / California - Demolition Permits Filed For 860-880 McAllister Street, San Francisco",California,Project / Deal,California,60,relationship_graph.csv,1,partial match
2026-06-02,20260602-045446-a07523c4,"JV / Partnership - Riverside / California - PCCP, Alliance Residential Buy 184-Unit Multifamily Community in Riverside, California",California,Project / Deal,California,60,relationship_graph.csv,1,partial match
2026-06-02,20260602-045446-a07523c4,"JV / Partnership - Riverside / California - PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex",California,Project / Deal,California,60,relationship_graph.csv,1,partial match
2026-06-02,20260602-045446-a07523c4,Recapitalization - California - PEF Advisors with Freestone Capital Form Joint Venture to Recapitalize Affordable Housing...,California,Project / Deal,California,60,relationship_graph.csv,1,partial match
2026-06-02,20260602-045446-a07523c4,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",California,Project / Deal,California,60,relationship_graph.csv,1,partial match
2026-06-02,20260602-045446-a07523c4,Crescent Communities,Crescent Communities,Developer / GP,,40,deal_pipeline.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Crescent Communities,Crescent Communities,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Crescent Communities,Crescent Communities,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Crescent Communities,Crescent Communities,Developer / GP,,40,relationship_graph.csv,3,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Development Start - Other / Unknown - First Quarter 2026 Multifamily Construction Data,Development Start - Other / Unknown - First Quarter 2026 Multifamily Construction Data,Project / Deal,,40,relationship_graph.csv,2,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Development Start - Other / Unknown - Fourth Quarter 2025 Multifamily Construction Data,Development Start - Other / Unknown - Fourth Quarter 2025 Multifamily Construction Data,Project / Deal,,40,relationship_graph.csv,2,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Development Start - Other / Unknown - Missing Middle Weakness,Development Start - Other / Unknown - Missing Middle Weakness,Project / Deal,,40,relationship_graph.csv,2,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Development Start - Other / Unknown - Overall Housing Starts Inch Lower in 2025,Development Start - Other / Unknown - Overall Housing Starts Inch Lower in 2025,Project / Deal,,40,relationship_graph.csv,2,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Development Start - Other / Unknown - Third Quarter 2025 Multifamily Construction Data,Development Start - Other / Unknown - Third Quarter 2025 Multifamily Construction Data,Project / Deal,,40,relationship_graph.csv,2,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Disposition / Exit - Other / Unknown - Interra Realty Brokers Sale of Bucktown Mixed-Use Property,Disposition / Exit - Other / Unknown - Interra Realty Brokers Sale of Bucktown Mixed-Use Property,Project / Deal,,40,relationship_graph.csv,2,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Disposition / Exit - Other / Unknown - NAHB HBGI: Micro Markets Lone Bright Spot for Single-Family Building in Fourth Quarter,Disposition / Exit - Other / Unknown - NAHB HBGI: Micro Markets Lone Bright Spot for Single-Family Building in Fourth Quarter,Project / Deal,,40,relationship_graph.csv,2,weak match / needs review
2026-06-02,20260602-045446-a07523c4,Disposition / Exit - Other / Unknown - Newly Constructed Mid-Rise Multifamily Property Across from University of Chicago Hits the...,Disposition / Exit - Other / Unknown - Newly Constructed Mid-Rise Multifamily Property Across from University of Chicago Hits the...,Project / Deal,,40,relationship_graph.csv,1,weak match / needs review
