run_date,run_id,canonical_article_id,related_canonical_article_ids,primary_display_section,repeat_exposure_status,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,article_integrity_status,access_status,extracted_city,extracted_state,extracted_market_reason,gp_name,canonical_gp_name,lead_entity,counterparties,entity_extraction_method,entity_extraction_confidence,entity_extraction_reason,has_project_anchor,project_anchor_reason,project_anchor_confidence,development_lifecycle_hint,residential_sector,activity_type,market_focus,source_categories,source_platform_types,article_count,average_relevance_score,institutional_signal_strength,growth_or_defensive_signal,likely_strategy,potential_implication_for_woomi,recommended_follow_up,strategic_priority_label
2026-06-05,20260605-230148-ea958470,art_652aa6c8883e04cf,art_652aa6c8883e04cf; art_317a006b785fbe0a; art_2cac044c86aa7f0c; art_1cf4b76f3046105a,Development Activity,new_or_fresh,2026-06-05,2026-06-05,0,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,valid,open,New York City,New York,matched city/metro keyword: New York City,JLL,JLL,JLL,Freddie Mac; West Village Multifamily Refi Residential,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,address/street: 100 jane street; execution milestone: opened; project/asset term: development,high,Delivery / Opening,Affordable Housing,refinancing; operational technology / AI adoption,California,Core Multifamily News; Site / Parcel Source Expansion,Other,4,96.0,100,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-06-05,20260605-230148-ea958470,art_da3cda40c21e1575,art_da3cda40c21e1575; art_422de0ee60b0146a,Development Activity,new_or_fresh,2026-06-05,2026-06-05,0,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,valid,open,,,"no city, state, or market keyword detected",Arrow Real Estate Advisors,Arrow Real Estate Advisors,Arrow Real Estate Advisors,Jasmine Kilman Arrow Real Estate Advisors; Delaware MF Development Arrow Real Estate Advisors; Buccini Pollin Group,unresolved,unresolved,"No institution name detected in dictionary, title, summary, or source text.",True,unit/site count: 40-unit; execution milestone: delivered; project/asset term: apartments,high,Delivery / Opening,Apartment,refinancing; operational technology / AI adoption,Other / Unknown,Core Multifamily News; Site / Parcel Source Expansion,Other,2,94.0,89,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-06-05,20260605-230148-ea958470,art_bf0edd052c8c09d7,art_3bfdeea013c1d84d; art_bf0edd052c8c09d7,Development Activity,new_or_fresh,2026-06-05,2026-06-05,0,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,valid,open,,,"no city, state, or market keyword detected",Marcus & Millichap,Marcus & Millichap,Marcus & Millichap,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 128-unit; project/asset term: multifamily property,high,Project / Asset,Apartment,acquisition; disposition / exit; operational technology / AI adoption,Other / Unknown,Core Multifamily News; Site / Parcel Source Expansion,Other,2,76.0,89,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Immediate Watch
2026-06-05,20260605-230148-ea958470,art_f0e5befbb21a23aa,art_f0e5befbb21a23aa,Development Activity,repeat_penalized,2026-05-27,2026-06-05,9,recent_4_14d,recent,published date parsed; article age 9 day(s),55,valid,open,,California,matched state keyword: California,Freestone Capital,Freestone Capital,Freestone Capital,Recapitalize Affordable Properties; Paul Bubny PEF Advisors; Recapitalize Affordable Properties Preservation Equity Fund Advisors,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,project/asset term: apartments,medium,Project Financing / Capital Event,Affordable Housing,recapitalization; JV / partnership; capital raise; operational technology / AI adoption,California,Site / Parcel Source Expansion,Other,1,84.0,83,Distressed Opportunity Positioning,distressed recapitalization,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-06-05,20260605-230148-ea958470,art_f0e5befbb21a23aa,art_f0e5befbb21a23aa,Development Activity,repeat_penalized,2026-05-27,2026-06-05,9,recent_4_14d,recent,published date parsed; article age 9 day(s),55,valid,open,,California,matched state keyword: California,PEF Advisors,PEF Advisors,PEF Advisors,Freestone Capital; Recapitalize Affordable Properties; Paul Bubny PEF Advisors; Recapitalize Affordable Properties Preservation Equity Fund Advisors,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,project/asset term: apartments,medium,Project Financing / Capital Event,Affordable Housing,recapitalization; JV / partnership; capital raise; operational technology / AI adoption,California,Site / Parcel Source Expansion,Other,1,84.0,83,Distressed Opportunity Positioning,distressed recapitalization,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-06-05,20260605-230148-ea958470,art_317a006b785fbe0a,art_317a006b785fbe0a,Development Activity,repeat_penalized,2026-04-29,2026-06-05,37,old_31d_plus,old,published date parsed; article age 37 day(s),5,valid,open,,California,matched state keyword: California,Santa Ana Multifamily JLL Capital,JLL,Santa Ana Multifamily JLL Capital,JLL,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 408-unit; project/asset term: project; project financing tied to anchor: construction loan,high,Project Financing / Capital Event,Apartment,refinancing; operational technology / AI adoption,California,Site / Parcel Source Expansion,Other,1,100.0,83,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-06-05,20260605-230148-ea958470,art_b58b2e3344f63abf,art_ecb9febdfa4483ff; art_b58b2e3344f63abf,Development Activity,new_or_fresh,2026-06-05,2026-06-05,0,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,valid,open,Houston,Texas,matched city/metro keyword: Houston,Berkadia,Berkadia,Berkadia,Grand Living,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 186-unit; execution milestone: opened; project/asset term: senior housing,high,Delivery / Opening,Mixed-Use Residential,acquisition; disposition / exit; refinancing,Miami / Florida,Core Multifamily News; Site / Parcel Source Expansion,Other,2,79.5,79,Defensive Capital Preservation,selective multifamily acquisition,pricing discovery reference,track refinancing pipeline,Strategic Watch
2026-06-05,20260605-230148-ea958470,art_86bc6f4162c00691,art_7360e8a6d1be6330; art_86bc6f4162c00691,Development Activity,acceptable_repeat,2026-06-03,2026-06-05,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),78,valid,open,,California,matched state keyword: California,CBRE,CBRE,CBRE,Former Bank; Paul Bubny Former Bank; Merchants Bank,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,address/street: 10422 garden grove blvd; project/asset term: development,high,Project / Asset,Affordable Housing,disposition / exit; entitlement; operational technology / AI adoption,Los Angeles / California,Regional / California / LA Sources; Site / Parcel Source Expansion,Other,2,78.5,77,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Strategic Watch
2026-06-05,20260605-230148-ea958470,art_652aa6c8883e04cf,art_652aa6c8883e04cf,Development Activity,new_or_fresh,2026-06-05,2026-06-05,0,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,valid,open,New York City,New York,matched city/metro keyword: New York City,Freddie Mac,Freddie Mac,Freddie Mac,JLL; West Village Multifamily Refi Residential,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,address/street: 100 jane street; execution milestone: opened; project/asset term: development,high,Delivery / Opening,Affordable Housing,refinancing; operational technology / AI adoption,New York City / New York,Core Multifamily News,Other,1,100.0,73,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Strategic Watch
2026-06-05,20260605-230148-ea958470,art_fa57a6e6227bd45f,art_fa57a6e6227bd45f,Development Activity,new_or_fresh,2026-06-05,2026-06-05,0,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,valid,open,Phoenix,Arizona,matched city/metro keyword: Phoenix,Greystone,Greystone,Greystone,Scottsdale Developer The Hampton Group; Related Fund Management,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",True,unit/site count: 14-story; project/asset term: development; project financing tied to anchor: construction loan,high,Project Financing / Capital Event,Apartment,refinancing; capital raise; operational technology / AI adoption,Phoenix / Arizona,Core Multifamily News,Other,1,100.0,73,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Strategic Watch
