run_date,run_id,run_timestamp,gp_name,canonical_gp_name,gp_activity_score,institutional_relationship_score,capital_flow_score,regional_relevance_score,residential_sector_score,partnership_signal_score,innovation_signal_score,california_la_relevance_score,execution_signal_score,momentum_signal_score,emerging_gp_score,gp_tier,primary_market,residential_sector_focus,source_platform_types,institutional_partners,capital_sources,detected_strategies,innovation_signals,execution_signals,california_la_presence,partnership_signal,momentum_label,likely_growth_direction,potential_woomi_use_case,recommended_follow_up,confidence_level,special_labels
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Kennedy Wilson,Kennedy Wilson,100,100,90,55,70,100,25,100,0,67,77,Tier 2 High Potential GP,Los Angeles / California,Affordable Housing,Other,jll; kennedy wilson,jll; kennedy wilson,Acquisition; Capital Inflow; Office-to-Residential Conversion; acquisition; disposition / exit; office-to-residential conversion; JV / partnership; operational technology / AI adoption; operational efficiency push,adaptive reuse,None detected,High,Strong partnership signal,Accelerating,California / LA strategic positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; Affordable Housing Specialist; LA Strategic Watch
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Fannie Mae,Fannie Mae,83,91,90,100,90,65,0,100,0,60,73,Tier 2 High Potential GP,California,Apartment,Other,fannie mae,fannie mae,Refinancing / Recapitalization; operational efficiency push; refinancing; operational technology / AI adoption,None detected,None detected,High,Moderate partnership signal,Accelerating,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch; Distressed Opportunity Candidate
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Wood Partners,Wood Partners,63,91,90,55,90,100,0,90,0,52,73,Tier 2 High Potential GP,Dallas / Texas,Apartment,Other,None detected,None detected,Acquisition; Capital Inflow; acquisition; disposition / exit; JV / partnership; selective multifamily acquisition,None detected,None detected,High,Strong partnership signal,Improving,California / LA strategic positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,PCCP,PCCP,84,94,90,35,55,100,0,90,50,76,72,Tier 2 High Potential GP,Other / Unknown,Mixed-Use Residential,Other,cushman,cushman,Refinancing; Refinancing / Recapitalization; refinancing; JV / partnership; stable platform monitoring,None detected,completed; lease-up,High,Strong partnership signal,Accelerating,California / LA strategic positioning,Potential GP partnership candidate,Track JV and capital partner activity,High,Institutional Capital Magnet; LA Strategic Watch; Distressed Opportunity Candidate; Operational Excellence Signal
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Brookfield,Brookfield,85,100,75,35,90,100,0,90,0,56,71,Tier 2 High Potential GP,Other / Unknown,Apartment,Other,brookfield,brookfield,Capital Outflow / Exit; JV / Partnership; disposition / exit; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,Strong partnership signal,Accelerating,California / LA strategic positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,CBRE,CBRE,100,100,90,100,30,65,0,100,25,74,71,Tier 2 High Potential GP,California,General Residential,Other,cbre,cbre,Acquisition; Capital Inflow; Disposition / Exit; acquisition; disposition / exit; refinancing; operational technology / AI adoption; operational efficiency push,None detected,delivered,High,Moderate partnership signal,Accelerating,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,High,Institutional Capital Magnet; LA Strategic Watch; Operational Excellence Signal
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Slatt Capital,Slatt Capital,99,96,90,100,90,0,0,100,0,67,65,Tier 3 Monitoring GP,California,Apartment,Other,None detected,None detected,Refinancing / Recapitalization; operational efficiency push; refinancing; operational technology / AI adoption,None detected,None detected,High,No clear partnership signal,Accelerating,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch; Distressed Opportunity Candidate
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,IPA,IPA,79,93,90,55,90,100,0,0,0,59,65,Tier 3 Monitoring GP,Dallas / Texas,Apartment,Other,None detected,None detected,Capital Inflow; acquisition; disposition / exit; JV / partnership; selective multifamily acquisition,None detected,None detected,Low,Strong partnership signal,Accelerating,Selective residential growth,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Marcus & Millichap,Marcus & Millichap,89,93,90,55,90,100,0,0,0,63,65,Tier 3 Monitoring GP,Dallas / Texas,Multifamily,Other,None detected,None detected,Capital Inflow; Disposition / Exit; acquisition; disposition / exit; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,None detected,Low,Strong partnership signal,Accelerating,Selective residential growth,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,JLL,JLL,89,98,90,55,55,100,0,0,25,70,64,Tier 3 Monitoring GP,National,Senior Housing,Other,jll,jll,Capital Inflow; JV / Partnership; acquisition; disposition / exit; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,completed,Low,Strong partnership signal,Accelerating,Selective residential growth,Potential GP partnership candidate,Track JV and capital partner activity,High,Institutional Capital Magnet; Operational Excellence Signal
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Freddie Mac,Freddie Mac,63,91,90,55,45,65,0,90,0,52,63,Tier 3 Monitoring GP,Atlanta / Georgia,Manufactured Housing,Other,freddie mac,freddie mac,Acquisition; Capital Inflow; acquisition; disposition / exit; refinancing; selective multifamily acquisition,None detected,None detected,High,Moderate partnership signal,Improving,California / LA strategic positioning,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,FPM Partners,FPM Partners,73,83,90,55,90,100,0,0,0,56,62,Tier 3 Monitoring GP,Phoenix / Arizona,Apartment,Other,None detected,None detected,Capital Inflow; acquisition; disposition / exit; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,None detected,Low,Strong partnership signal,Improving,Selective residential growth,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Alliance Residential,Alliance Residential,100,100,90,55,90,0,0,100,0,67,61,Tier 3 Monitoring GP,Los Angeles / California,Apartment,Other,None detected,None detected,Acquisition; Capital Inflow; acquisition; disposition / exit; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,No clear partnership signal,Accelerating,California / LA strategic positioning,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Affinius Capital,Affinius Capital,63,91,90,35,55,100,0,0,25,60,60,Tier 3 Monitoring GP,Other / Unknown,Mixed-Use Residential,Other,None detected,None detected,Refinancing / Recapitalization; refinancing; JV / partnership; stable platform monitoring,None detected,lease-up,Low,Strong partnership signal,Improving,Distressed opportunity positioning,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; Distressed Opportunity Candidate; Operational Excellence Signal
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Multifamily Upper West Side Investments,Multifamily Upper West Side Investments,73,87,90,55,90,65,0,0,0,56,58,Tier 3 Monitoring GP,New York City / New York,Apartment,Other,None detected,None detected,Capital Inflow; acquisition; disposition / exit; operational technology / AI adoption; operational efficiency push,None detected,None detected,Low,Moderate partnership signal,Improving,Selective residential growth,Capital market and pricing discovery reference,Review institutional pricing and capital flow signals,Medium,Institutional Capital Magnet
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,M Development Partners,M Development Partners,63,83,75,55,70,100,0,0,0,48,58,Tier 3 Monitoring GP,New York City / New York,Affordable Housing,Other,None detected,None detected,Capital Outflow / Exit; disposition / exit; JV / partnership; stable platform monitoring,None detected,None detected,Low,Strong partnership signal,Improving,Selective residential growth,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; Affordable Housing Specialist
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,High Street Residential,High Street Residential,61,91,90,55,55,0,0,100,0,51,55,Tier 3 Monitoring GP,Santa Monica / California,Mixed-Use Residential,Other,None detected,None detected,Development Capital Deployment; Entitlement / Permitting; entitlement; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,No clear partnership signal,Improving,California / LA strategic positioning,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Waterton,Waterton,67,75,90,55,90,0,0,90,0,54,55,Tier 3 Monitoring GP,Miami / Florida,Apartment,Other,None detected,None detected,Acquisition; Capital Inflow; acquisition; disposition / exit; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,No clear partnership signal,Improving,California / LA strategic positioning,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Wells Fargo Bank,Wells Fargo Bank,73,83,90,55,90,0,0,0,0,56,47,Emerging Watchlist,Miami / Florida,Apartment,Other,None detected,None detected,Refinancing / Recapitalization; operational efficiency push; refinancing; operational technology / AI adoption,None detected,None detected,Low,No clear partnership signal,Improving,Distressed opportunity positioning,Capital market and pricing discovery reference,Review institutional pricing and capital flow signals,Medium,Institutional Capital Magnet; Distressed Opportunity Candidate
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Kew Gardens Apartments Meridian Capital Group,Kew Gardens Apartments Meridian Capital Group,73,80,90,55,90,0,0,0,0,56,47,Emerging Watchlist,New York,Apartment,Other,None detected,None detected,Refinancing / Recapitalization; operational efficiency push; refinancing; operational technology / AI adoption,None detected,None detected,Low,No clear partnership signal,Improving,Distressed opportunity positioning,Capital market and pricing discovery reference,Review institutional pricing and capital flow signals,Medium,Institutional Capital Magnet; Distressed Opportunity Candidate
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Starwood Capital Group,Starwood Capital Group,61,82,0,55,80,65,50,0,0,24,46,Emerging Watchlist,Miami / Florida,Office-to-Residential Conversion,Other,None detected,None detected,Operational / Platform Investment; office conversion pipeline; office-to-residential conversion,office conversion; adaptive reuse,None detected,Low,Moderate partnership signal,Improving,Selective residential growth,General developer monitoring,Monitor only,Medium,Institutional Capital Magnet
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Bravo Property Trust,Bravo Property Trust,63,83,90,35,90,0,0,0,0,52,45,Emerging Watchlist,Other / Unknown,Apartment,Other,None detected,None detected,Refinancing / Recapitalization; refinancing; stable platform monitoring,None detected,None detected,Low,No clear partnership signal,Improving,Distressed opportunity positioning,Capital market and pricing discovery reference,Review institutional pricing and capital flow signals,Medium,Institutional Capital Magnet; Distressed Opportunity Candidate
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Berkadia,Berkadia,67,78,75,55,90,0,0,0,25,57,45,Emerging Watchlist,Austin / Texas,Multifamily,Other,berkadia,berkadia,Capital Outflow / Exit; Disposition / Exit; disposition / exit; stable platform monitoring,None detected,occupancy,Low,No clear partnership signal,Improving,Selective residential growth,Capital market and pricing discovery reference,Review institutional pricing and capital flow signals,High,Institutional Capital Magnet; Operational Excellence Signal
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Side Section 8 Apartments Ariel Property Advisors,Side Section 8 Apartments Ariel Property Advisors,61,75,75,55,70,0,0,0,0,47,41,Emerging Watchlist,New York City / New York,Affordable Housing,Other,None detected,None detected,Capital Outflow / Exit; disposition / exit; operational technology / AI adoption; operational efficiency push,None detected,None detected,Low,No clear partnership signal,Improving,Selective residential growth,Capital market and pricing discovery reference,Review institutional pricing and capital flow signals,Medium,Institutional Capital Magnet; Affordable Housing Specialist
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Walker & Dunlop,Walker & Dunlop,54,60,65,75,70,0,0,0,0,41,38,Low Signal,Florida,Affordable Housing,Other,walker & dunlop,walker & dunlop,Sun Belt expansion; market expansion,None detected,None detected,Low,No clear partnership signal,Improving,Selective residential growth,General developer monitoring,Monitor only,Medium,Affordable Housing Specialist
2026-07-07,20260707-235900-c117bd3d,2026-07-07 23:59:00,Korman Communities,Korman Communities,51,57,0,35,90,0,0,0,0,20,25,Low Signal,Other / Unknown,Multifamily,Other,None detected,None detected,Operational / Platform Investment; operational efficiency push; operational technology / AI adoption,None detected,None detected,Low,No clear partnership signal,Stable,Selective residential growth,General developer monitoring,Monitor only,Medium,General Monitoring
