run_id,run_date,cluster_title,article_count,retained_evidence_count,confidence_label,dominant_market,dominant_financing_pattern,cluster_status,synthesis_participation,source_diversity,lender_diversity,dominant_source_share
20260519-021700-3e3a74df,2026-05-19,Construction financing still selective,6,6,Broadly Confirmed,New York,construction loan,newly emerging,,5,2,0.333
20260520-040606-6613d3b9,2026-05-20,Construction financing still selective,9,9,Broadly Confirmed,Sun Belt,construction financing,expanding,,6,4,0.222
20260520-051844-b14f8dba,2026-05-20,Construction financing still selective,9,9,Broadly Confirmed,Sun Belt,construction financing,stable,,6,4,0.222
20260520-230154-ca46e1ee,2026-05-20,Construction financing still selective,7,7,Broadly Confirmed,California,construction financing,fading,,5,3,0.286
20260521-230148-97d5f8bd,2026-05-21,Construction financing still selective,5,5,Broadly Confirmed,California,construction financing,fading,,4,2,0.4
20260522-230155-fb3b56b2,2026-05-22,Construction financing still selective,7,7,Broadly Confirmed,Sun Belt,construction loan,expanding,,6,2,0.286
20260523-230152-45df883f,2026-05-23,Construction financing still selective,6,6,Broadly Confirmed,Sun Belt,construction loan,fading,,5,2,0.333
20260524-230204-750df6c3,2026-05-24,Construction financing still selective,6,6,Broadly Confirmed,Sun Belt,construction loan,stable,,5,2,0.333
20260525-230212-45b2fe12,2026-05-25,Construction financing still selective,5,5,Broadly Confirmed,Sun Belt,construction loan,fading,,4,2,0.4
20260526-060516-8f6cea4b,2026-05-26,Construction financing still selective,5,5,Broadly Confirmed,Sun Belt,construction loan,stable,,4,2,0.4
20260526-081038-35a22dfb,2026-05-26,Construction financing still selective,5,5,Broadly Confirmed,Sun Belt,construction loan,stable,,4,2,0.4
20260526-230211-c37354de,2026-05-26,Construction financing still selective,4,4,Moderate Signal,Sun Belt,construction loan,fading,,3,2,0.5
20260527-013618-38446781,2026-05-27,Construction financing still selective,4,4,Moderate Signal,Sun Belt,construction loan,stable,,3,2,0.5
20260527-230207-4be4208e,2026-05-27,Construction financing still selective,6,6,Broadly Confirmed,Sun Belt,construction loan,expanding,,5,2,0.333
20260528-230155-27f9735b,2026-05-28,Construction financing still selective,5,5,Broadly Confirmed,New York,construction loan,fading,,4,1,0.4
20260529-230138-14a22af3,2026-05-29,Construction financing still selective,5,5,Broadly Confirmed,National,construction loan,stable,,5,2,0.2
20260530-230208-ccf8785d,2026-05-30,Construction financing still selective,5,5,Broadly Confirmed,National,construction loan,stable,,5,2,0.2
20260531-230156-2ca508a0,2026-05-31,Construction financing still selective,4,4,Moderate Signal,Los Angeles,construction loan,fading,,4,1,0.25
20260601-003555-0e25506b,2026-06-01,Construction financing still selective,4,4,Moderate Signal,Los Angeles,construction loan,stable,,4,1,0.25
20260601-012139-c701e5e3,2026-06-01,Construction financing still selective,4,4,Moderate Signal,Los Angeles,construction loan,stable,,4,1,0.25
