run_date,run_id,source_name,attempted_url_or_feed,status,article_count_fetched,site_parcel_candidate_count,reason_if_unavailable
2026-05-21,20260521-230148-97d5f8bd,REBusiness Online,https://rebusinessonline.com/feed/atom/,no relevant articles,20,0,No saved Site / Parcel candidates detected
2026-05-21,20260521-230148-97d5f8bd,Connect CRE Apartments,https://www.connectcre.com/feed?property-sector=apartments,no relevant articles,10,0,No saved Site / Parcel candidates detected
2026-05-21,20260521-230148-97d5f8bd,Connect CRE Texas,https://www.connectcre.com/feed?story-market=texas,no relevant articles,10,0,No saved Site / Parcel candidates detected
2026-05-21,20260521-230148-97d5f8bd,Connect CRE South Florida,https://www.connectcre.com/feed?story-market=south-florida,no relevant articles,10,0,No saved Site / Parcel candidates detected
2026-05-21,20260521-230148-97d5f8bd,Connect CRE Phoenix,https://www.connectcre.com/feed?story-market=phoenix,no relevant articles,10,0,No saved Site / Parcel candidates detected
2026-05-21,20260521-230148-97d5f8bd,Connect CRE Atlanta,https://www.connectcre.com/feed?story-market=atlanta,no relevant articles,10,0,No saved Site / Parcel candidates detected
2026-05-21,20260521-230148-97d5f8bd,Connect CRE Charlotte,https://www.connectcre.com/feed?story-market=charlotte,no relevant articles,10,0,No saved Site / Parcel candidates detected
2026-05-21,20260521-230148-97d5f8bd,Connect CRE Orange County,https://www.connectcre.com/feed?story-market=orange-county,no relevant articles,10,0,No saved Site / Parcel candidates detected
2026-05-21,20260521-230148-97d5f8bd,CRE Daily,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,Institutional Property Advisors,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,JLL Newsroom,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,CBRE Newsroom,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,Cushman & Wakefield Newsroom,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,Marcus & Millichap Newsroom,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,Dallas Business Journal,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,Austin Business Journal,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,South Florida Business Journal,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,Phoenix Business Journal,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,Atlanta Business Chronicle,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,Charlotte Business Journal,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,Los Angeles Business Journal,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,San Francisco Business Times,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,Orange County Business Journal,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,Denver Business Journal,,skipped,0,0,No public feed URL configured
2026-05-21,20260521-230148-97d5f8bd,Nashville Business Journal,,skipped,0,0,No public feed URL configured
