run_date,run_id,canonical_article_id,related_canonical_article_ids,primary_display_section,repeat_exposure_status,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,article_integrity_status,access_status,extracted_city,extracted_state,extracted_market_reason,gp_name,canonical_gp_name,lead_entity,counterparties,entity_extraction_method,entity_extraction_confidence,entity_extraction_reason,residential_sector,activity_type,market_focus,source_categories,source_platform_types,article_count,average_relevance_score,institutional_signal_strength,growth_or_defensive_signal,likely_strategy,potential_implication_for_woomi,recommended_follow_up,strategic_priority_label
2026-06-02,20260602-010310-89150adf,art_3fa929e9665efef9,art_8c96de4ff1ebee0a; art_317a006b785fbe0a; art_1cf4b76f3046105a; art_3fa929e9665efef9,GP / Capital Activity,acceptable_repeat,2026-05-29,2026-06-02,4,recent_4_14d,usable_recent,published date parsed; article age 4 day(s),66,valid,accessible,,California,matched state keyword: California,JLL,JLL,JLL,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Apartment,acquisition; disposition / exit; refinancing; operational technology / AI adoption,California,Regional / California / LA Sources; Site / Parcel Source Expansion,Other,4,87.0,100,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-06-02,20260602-010310-89150adf,art_710a6f5b7bd5884f,art_f0e5befbb21a23aa; art_710a6f5b7bd5884f,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,,California,matched state keyword: California,Freestone Capital,Freestone Capital,Freestone Capital,Recapitalize Affordable Properties; Paul Bubny PEF Advisors; Recapitalize Affordable Properties Preservation Equity Fund Advisors; WNC California Preservation Equity Fund,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Affordable Housing,acquisition; recapitalization; JV / partnership; capital raise; operational technology / AI adoption,California,Core Multifamily News; Site / Parcel Source Expansion,Other,2,75.5,99,Distressed Opportunity Positioning,distressed recapitalization,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-06-02,20260602-010310-89150adf,art_710a6f5b7bd5884f,art_f0e5befbb21a23aa; art_710a6f5b7bd5884f,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,,California,matched state keyword: California,PEF Advisors,PEF Advisors,PEF Advisors,Freestone Capital; Recapitalize Affordable Properties; Paul Bubny PEF Advisors; Recapitalize Affordable Properties Preservation Equity Fund Advisors; WNC California Preservation Equity Fund,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Affordable Housing,acquisition; recapitalization; JV / partnership; capital raise; operational technology / AI adoption,California,Core Multifamily News; Site / Parcel Source Expansion,Other,2,75.5,99,Distressed Opportunity Positioning,distressed recapitalization,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-06-02,20260602-010310-89150adf,art_15ef1e7cdf7eb5d2,art_4cc2b5705959ef00; art_84751cd271d1e7dd; art_15ef1e7cdf7eb5d2,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,Houston,Texas,matched city/metro keyword: Houston,Berkadia,Berkadia,Berkadia,Grand Living; Arcole Partners,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Apartment,acquisition; disposition / exit; refinancing; JV / partnership; operational technology / AI adoption,Miami / Florida,Core Multifamily News; Site / Parcel Source Expansion,Other,3,89.3,97,Defensive Capital Preservation,operational efficiency push,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-06-02,20260602-010310-89150adf,art_0b840d252a0c4170,art_0b840d252a0c4170; art_fe740a152ba7cd5a,GP / Capital Activity,repeat_penalized,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),48,valid,accessible,Riverside,California,matched city/metro keyword: Riverside,Alliance Residential,Alliance Residential,Alliance Residential,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Apartment,acquisition; disposition / exit; JV / partnership; operational technology / AI adoption,Riverside / California,Regional / California / LA Sources; Site / Parcel Source Expansion,Other,2,100.0,89,Defensive Capital Preservation,operational efficiency push,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-06-02,20260602-010310-89150adf,art_0b840d252a0c4170,art_0b840d252a0c4170; art_fe740a152ba7cd5a,GP / Capital Activity,repeat_penalized,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),48,valid,accessible,Riverside,California,matched city/metro keyword: Riverside,PCCP,PCCP,PCCP,Alliance Residential,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Apartment,acquisition; disposition / exit; JV / partnership; operational technology / AI adoption,Riverside / California,Regional / California / LA Sources; Site / Parcel Source Expansion,Other,2,100.0,89,Defensive Capital Preservation,operational efficiency push,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-06-02,20260602-010310-89150adf,art_5bff164e85001b54,art_5bff164e85001b54; art_0d5e3cef7b579bf5; art_6d7e375dbcaa0f4f,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,New York City,New York,matched city/metro keyword: New York City,IPA,IPA,IPA,Avison Young; Freddie Mac,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Apartment,disposition / exit; refinancing; JV / partnership; capital raise,New York City / New York,Core Multifamily News,Other,3,74.3,87,Defensive Capital Preservation,stable platform monitoring,potential JV partnership signal,monitor JV activity,Immediate Watch
2026-06-02,20260602-010310-89150adf,art_317a006b785fbe0a,art_317a006b785fbe0a,GP / Capital Activity,repeat_penalized,2026-04-29,2026-06-02,34,old_31d_plus,historical_only,published date parsed; article age 34 day(s),5,valid,accessible,,California,matched state keyword: California,Santa Ana Multifamily JLL Capital,JLL,Santa Ana Multifamily JLL Capital,JLL,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Apartment,refinancing; operational technology / AI adoption,California,Site / Parcel Source Expansion,Other,1,100.0,83,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track refinancing pipeline,Immediate Watch
2026-06-02,20260602-010310-89150adf,art_426090ff840b98cb,art_1647b0b78bbec98c; art_426090ff840b98cb,Development Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,Los Angeles,California,matched city/metro keyword: Los Angeles,CBRE,CBRE,CBRE,,,,,Office-to-Residential Conversion,entitlement; office-to-residential conversion; operational technology / AI adoption,Los Angeles / California,Core Multifamily News,Other,2,82.0,77,Operational Optimization,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_aac28584f7614e52,art_aac28584f7614e52; art_38927e1ffc343d27,GP / Capital Activity,acceptable_repeat,2026-05-29,2026-06-02,4,recent_4_14d,usable_recent,published date parsed; article age 4 day(s),66,valid,accessible,Los Angeles,California,matched city/metro keyword: Los Angeles,Marcus & Millichap,Marcus & Millichap,Marcus & Millichap,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Apartment,disposition / exit; operational technology / AI adoption,Los Angeles / California,Core Multifamily News; Regional / California / LA Sources,Other,2,96.0,77,Defensive Capital Preservation,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Strategic Watch
