run_date,run_id,signal_name,signal_category,market,normalized_signal_key,source_count_today,article_count_today,article_count_7d,article_count_30d,source_count_7d,source_count_30d,first_seen_date,last_seen_date,days_observed_7d,days_observed_30d,persistence_score,momentum_score,freshness_score,diversity_score,memory_status,memory_reason
2026-06-09,20260609-105010-d9b80e3f,Developer Strategy,gp_activity,Atlanta / Georgia,gp_activity_developer_strategy_atlanta_georgia,1,1,6,8,1,1,2026-06-01,2026-06-09,6,8,100,90,100,25,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,Development Strategy,gp_activity,Miami / Florida,gp_activity_development_strategy_miami_florida,1,1,6,8,1,1,2026-06-01,2026-06-09,6,8,100,90,100,25,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,acquisition,development_pipeline,Miami / Florida,development_pipeline_acquisition_miami_florida,1,1,6,8,1,1,2026-06-01,2026-06-09,6,8,100,90,100,25,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,construction_financing,capital_markets,Miami / Florida,capital_markets_construction_financing_miami_florida,1,1,9,11,3,3,2026-06-01,2026-06-09,6,8,100,90,100,75,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,redevelopment,development_pipeline,Atlanta / Georgia,development_pipeline_redevelopment_atlanta_georgia,1,1,6,8,1,1,2026-06-01,2026-06-09,6,8,100,90,100,25,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,refinancing,capital_markets,Atlanta / Georgia,capital_markets_refinancing_atlanta_georgia,1,1,6,8,1,1,2026-06-01,2026-06-09,6,8,100,90,100,25,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,supply_pressure,supply_demand,Phoenix / Arizona,supply_demand_supply_pressure_phoenix_arizona,1,1,6,8,1,1,2026-06-01,2026-06-09,6,8,100,90,100,25,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,refinancing,capital_markets,Other / Unknown,capital_markets_refinancing_other_unknown,2,2,7,11,3,3,2026-05-27,2026-06-09,5,8,100,80,100,75,Persistent Signal,최근 30일 중 8일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,disposition,transaction_market,California,transaction_market_disposition_california,2,2,8,14,2,4,2026-05-27,2026-06-09,6,12,100,63,100,100,Persistent Signal,최근 30일 중 12일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,entitlement,development_pipeline,Los Angeles / California,development_pipeline_entitlement_los_angeles_california,1,1,5,9,1,1,2026-06-01,2026-06-09,5,7,100,60,100,25,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,effective_rent_growth,supply_demand,Other / Unknown,supply_demand_effective_rent_growth_other_unknown,3,7,41,79,3,4,2026-05-27,2026-06-09,6,13,100,53,100,100,Persistent Signal,최근 30일 중 13일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,delivery,development_pipeline,Other / Unknown,development_pipeline_delivery_other_unknown,2,3,16,34,3,5,2026-05-27,2026-06-09,6,13,100,46,100,100,Persistent Signal,최근 30일 중 13일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,construction_financing,capital_markets,California,capital_markets_construction_financing_california,1,1,6,13,1,1,2026-05-27,2026-06-09,6,13,100,44,100,25,Persistent Signal,최근 30일 중 13일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,supply_pressure,supply_demand,Other / Unknown,supply_demand_supply_pressure_other_unknown,1,2,12,26,1,1,2026-05-27,2026-06-09,6,13,100,44,100,25,Persistent Signal,최근 30일 중 13일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,Development Strategy,gp_activity,National,gp_activity_development_strategy_national,1,2,12,27,1,2,2026-05-27,2026-06-09,6,13,100,42,100,50,Persistent Signal,최근 30일 중 13일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,lender_activity,institutional_capital,Other / Unknown,institutional_capital_lender_activity_other_unknown,0,0,12,29,2,4,2026-05-27,2026-06-07,4,11,100,38,72,100,Persistent Signal,최근 30일 중 11일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,Development Strategy,gp_activity,Other / Unknown,gp_activity_development_strategy_other_unknown,1,1,6,15,1,3,2026-05-27,2026-06-09,6,13,100,37,100,75,Persistent Signal,최근 30일 중 13일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,effective_rent_growth,supply_demand,National,supply_demand_effective_rent_growth_national,2,3,18,45,2,5,2026-05-27,2026-06-09,6,13,100,37,100,100,Persistent Signal,최근 30일 중 13일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,effective_rent_growth,supply_demand,Sun Belt,supply_demand_effective_rent_growth_sun_belt,1,1,6,15,2,4,2026-05-27,2026-06-09,6,11,100,37,100,100,Persistent Signal,최근 30일 중 11일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,recapitalization,capital_markets,California,capital_markets_recapitalization_california,1,1,6,15,1,3,2026-05-27,2026-06-09,6,13,100,37,100,75,Persistent Signal,최근 30일 중 13일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,acquisition,transaction_market,Other / Unknown,transaction_market_acquisition_other_unknown,1,1,5,13,2,2,2026-05-27,2026-06-09,5,11,100,35,100,50,Persistent Signal,최근 30일 중 11일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,lender_activity,capital_markets,California,capital_markets_lender_activity_california,0,0,4,11,1,1,2026-05-27,2026-06-07,4,11,100,33,72,25,Persistent Signal,최근 30일 중 11일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,joint_venture,institutional_capital,Other / Unknown,institutional_capital_joint_venture_other_unknown,1,1,2,9,1,3,2026-05-27,2026-06-09,2,7,100,21,100,75,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,refinancing,capital_markets,New York,capital_markets_refinancing_new_york,0,0,1,8,1,3,2026-05-27,2026-06-07,1,7,100,16,72,75,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,permit,development_pipeline,San Francisco / California,development_pipeline_permit_san_francisco_california,1,1,5,7,1,1,2026-06-01,2026-06-09,5,7,98,90,100,25,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,effective_rent_growth,supply_demand,Miami / Florida,supply_demand_effective_rent_growth_miami_florida,1,2,11,11,2,2,2026-06-04,2026-06-09,6,6,94,65,100,50,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,Development Strategy,research_data,Los Angeles / California,research_data_development_strategy_los_angeles_california,1,1,10,10,1,1,2026-06-04,2026-06-09,6,6,92,65,100,25,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,acquisition,transaction_market,Los Angeles / California,transaction_market_acquisition_los_angeles_california,2,2,9,9,4,4,2026-06-04,2026-06-09,6,6,90,65,100,100,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,disposition,transaction_market,Other / Unknown,transaction_market_disposition_other_unknown,0,0,3,8,1,2,2026-05-27,2026-06-07,3,6,88,34,72,50,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,construction_financing,capital_markets,Other / Unknown,capital_markets_construction_financing_other_unknown,1,1,5,7,2,2,2026-06-01,2026-06-09,4,6,86,90,100,50,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,joint_venture,institutional_capital,Texas,institutional_capital_joint_venture_texas,1,1,6,7,2,3,2026-05-28,2026-06-09,5,6,86,90,100,75,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,construction_financing,capital_markets,Phoenix / Arizona,capital_markets_construction_financing_phoenix_arizona,1,1,7,7,3,3,2026-06-04,2026-06-09,6,6,86,65,100,75,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
