run_date,run_id,raw_entity,canonical_entity,entity_type,alias_matched,confidence_score,source_file,occurrence_count,notes
2026-06-12,20260612-002041-06ed6325,Acquisition - Houston / Texas - Interurban Offloads 180-Unit Houston Rental Community,Acquisition - Houston / Texas - Interurban Offloads 180-Unit Houston Rental Community,Project / Deal,,40,relationship_graph.csv,1,weak match / needs review
2026-06-12,20260612-002041-06ed6325,"Acquisition - Other / Unknown - Trident Development Completes $36.3M Sale of Silver Creek Apartments in Bozeman, Montana","Acquisition - Other / Unknown - Trident Development Completes $36.3M Sale of Silver Creek Apartments in Bozeman, Montana",Project / Deal,,40,relationship_graph.csv,2,weak match / needs review
2026-06-12,20260612-002041-06ed6325,Apartment Tower Near Miami Metrorail Santander Bank,Apartment Tower Near Miami Metrorail Santander Bank,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-12,20260612-002041-06ed6325,Apartment Tower Near Miami Metrorail Santander Bank,Apartment Tower Near Miami Metrorail Santander Bank,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-12,20260612-002041-06ed6325,Arizona,Arizona,Market / Region,,40,regional_intelligence.csv,1,weak match / needs review
2026-06-12,20260612-002041-06ed6325,Berkadia,Berkadia,Developer / GP,Berkadia,100,deal_pipeline.csv,3,exact canonical match
2026-06-12,20260612-002041-06ed6325,Berkadia,Berkadia,Developer / GP,Berkadia,100,gp_intelligence.csv,1,exact canonical match
2026-06-12,20260612-002041-06ed6325,Berkadia,Berkadia,Developer / GP,Berkadia,100,institutional_relationships.csv,1,exact canonical match
2026-06-12,20260612-002041-06ed6325,Berkadia,Berkadia,Developer / GP,Berkadia,100,relationship_graph.csv,11,exact canonical match
2026-06-12,20260612-002041-06ed6325,berkadia,Berkadia,Lender / Debt Provider,Berkadia,75,deal_pipeline.csv,2,case or punctuation normalized match
2026-06-12,20260612-002041-06ed6325,berkadia,Berkadia,Lender / Debt Provider,Berkadia,75,relationship_graph.csv,2,case or punctuation normalized match
2026-06-12,20260612-002041-06ed6325,Refinancing - New York - Berkadia Secures $126M Refi on 99% Occupied New Rochelle Apartments,Berkadia,Project / Deal,Berkadia,60,relationship_graph.csv,1,partial match
2026-06-12,20260612-002041-06ed6325,CAPREIT,CAPREIT,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-06-12,20260612-002041-06ed6325,CAPREIT,CAPREIT,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
2026-06-12,20260612-002041-06ed6325,CBRE,CBRE,Developer / GP,CBRE,100,deal_pipeline.csv,3,exact canonical match
2026-06-12,20260612-002041-06ed6325,CBRE,CBRE,Developer / GP,CBRE,100,gp_intelligence.csv,1,exact canonical match
2026-06-12,20260612-002041-06ed6325,CBRE,CBRE,Developer / GP,CBRE,100,institutional_relationships.csv,1,exact canonical match
2026-06-12,20260612-002041-06ed6325,CBRE,CBRE,Developer / GP,CBRE,100,relationship_graph.csv,9,exact canonical match
2026-06-12,20260612-002041-06ed6325,cbre,CBRE,Lender / Debt Provider,CBRE,75,deal_pipeline.csv,3,case or punctuation normalized match
2026-06-12,20260612-002041-06ed6325,cbre,CBRE,Lender / Debt Provider,CBRE,75,relationship_graph.csv,3,case or punctuation normalized match
2026-06-12,20260612-002041-06ed6325,Disposition / Exit - Seattle - CBRE Completes $17M Sale of 70-Unit Multifamily on Bainbridge Island,CBRE,Project / Deal,CBRE,60,relationship_graph.csv,1,partial match
2026-06-12,20260612-002041-06ed6325,California,California,Market / Region,California,100,articles.csv,8,exact canonical match
2026-06-12,20260612-002041-06ed6325,California,California,Market / Region,California,100,deal_pipeline.csv,16,exact canonical match
2026-06-12,20260612-002041-06ed6325,California,California,Market / Region,California,100,regional_intelligence.csv,1,exact canonical match
2026-06-12,20260612-002041-06ed6325,California,California,Market / Region,California,100,relationship_graph.csv,8,exact canonical match
2026-06-12,20260612-002041-06ed6325,Riverside / California,California,Market / Region,California,60,articles.csv,1,partial match
