run_date,run_id,primary_topic,article_count,high_confidence_count,medium_confidence_count,low_confidence_count,unknown_count,top_markets,top_sources
2026-08-22,20260822-232054-b3ec23da,development_pipeline,14,0,7,7,0,Other / Unknown (7); Atlanta / Georgia (2); Los Angeles / California (1); Phoenix / Arizona (1); Miami / Florida (1),REBusiness Online (3); NAHB Eye on Housing - Multifamily (3); Yield PRO (2); Urbanize LA (1); Connect CRE Phoenix (1)
2026-08-22,20260822-232054-b3ec23da,transaction_market,14,2,9,3,0,Seattle (2); California (2); Other / Unknown (2); Riverside / California (1); New York (1),Yield PRO (4); REBusiness Online (3); Connect CRE Apartments (2); Connect CRE Orange County (2); Connect CRE (1)
2026-08-22,20260822-232054-b3ec23da,supply_demand,12,0,0,12,0,Other / Unknown (7); National (4); Atlanta / Georgia (1),NAHB Eye on Housing - Multifamily (8); Multifamily Executive (2); Multifamily Dive (1); Connect CRE Atlanta (1)
2026-08-22,20260822-232054-b3ec23da,macro_financing,10,0,0,1,9,Los Angeles / California (4); Other / Unknown (2); Colorado (1); Atlanta / Georgia (1); New York City / New York (1),Urbanize LA (4); NAHB Eye on Housing - Multifamily (2); Commercial Observer (1); REBusiness Online (1); Connect CRE Atlanta (1)
2026-08-22,20260822-232054-b3ec23da,institutional_capital,9,3,3,3,0,California (2); New York (1); Texas (1); Dallas / Texas (1); Atlanta / Georgia (1),Multifamily Dive (2); Commercial Observer (1); Connect CRE Orange County (1); Yield PRO (1); Connect CRE (1)
2026-08-22,20260822-232054-b3ec23da,capital_markets,6,2,3,1,0,Texas (2); Seattle (1); Florida (1); Phoenix / Arizona (1); Kentucky (1),REBusiness Online (3); Connect CRE Apartments (1); Connect CRE South Florida (1); Commercial Observer (1)
2026-08-22,20260822-232054-b3ec23da,gp_activity,6,0,0,1,5,National (2); California (1); Other / Unknown (1); Miami / Florida (1); Atlanta / Georgia (1),NAHB Eye on Housing - Multifamily (3); Connect CRE California (1); Connect CRE South Florida (1); Multifamily Dive (1)
2026-08-22,20260822-232054-b3ec23da,other,5,0,0,0,5,Other / Unknown (3); Los Angeles / California (1); Beverly Hills / California (1),SF YIMBY (3); Urbanize LA (2)
2026-08-22,20260822-232054-b3ec23da,research_data,3,0,0,0,3,Los Angeles / California (1); California (1); Other / Unknown (1),Urbanize LA (3)
2026-08-22,20260822-232054-b3ec23da,operations_property_management,1,0,0,0,1,Colorado (1),Yield PRO (1)
