run_date,run_id,signal_name,signal_category,market,normalized_signal_key,source_count_today,article_count_today,article_count_7d,article_count_30d,source_count_7d,source_count_30d,first_seen_date,last_seen_date,days_observed_7d,days_observed_30d,persistence_score,momentum_score,freshness_score,diversity_score,memory_status,memory_reason
2026-06-02,20260602-040308-43dadaf3,Development Strategy,gp_activity,Other / Unknown,gp_activity_development_strategy_other_unknown,1,1,9,9,3,3,2026-05-27,2026-06-02,7,7,100,65,100,75,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,Development Strategy,gp_activity,National,gp_activity_development_strategy_national,2,3,15,15,2,2,2026-05-27,2026-06-02,7,7,100,65,100,50,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,delivery,development_pipeline,Other / Unknown,development_pipeline_delivery_other_unknown,1,2,18,18,3,3,2026-05-27,2026-06-02,7,7,100,65,100,75,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,effective_rent_growth,supply_demand,National,supply_demand_effective_rent_growth_national,4,5,27,27,5,5,2026-05-27,2026-06-02,7,7,100,65,100,100,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,effective_rent_growth,supply_demand,Other / Unknown,supply_demand_effective_rent_growth_other_unknown,3,6,38,38,3,3,2026-05-27,2026-06-02,7,7,100,65,100,75,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,joint_venture,institutional_capital,New York,institutional_capital_joint_venture_new_york,1,1,8,8,2,2,2026-05-27,2026-06-02,7,7,100,65,100,50,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,lender_activity,institutional_capital,Other / Unknown,institutional_capital_lender_activity_other_unknown,2,2,17,17,4,4,2026-05-27,2026-06-02,7,7,100,65,100,100,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,recapitalization,capital_markets,California,capital_markets_recapitalization_california,2,2,9,9,3,3,2026-05-27,2026-06-02,7,7,100,65,100,75,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,supply_pressure,supply_demand,Other / Unknown,supply_demand_supply_pressure_other_unknown,1,2,14,14,1,1,2026-05-27,2026-06-02,7,7,100,65,100,25,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,construction_financing,capital_markets,California,capital_markets_construction_financing_california,1,1,7,7,1,1,2026-05-27,2026-06-02,7,7,98,65,100,25,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,lender_activity,capital_markets,California,capital_markets_lender_activity_california,1,1,7,7,1,1,2026-05-27,2026-06-02,7,7,98,65,100,25,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-02,20260602-040308-43dadaf3,lender_activity,institutional_capital,New York,institutional_capital_lender_activity_new_york,1,1,7,7,1,1,2026-05-27,2026-06-02,7,7,98,65,100,25,Persistent Signal,최근 30일 중 7일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
