run_timestamp,primary_regime,secondary_regime,confidence_level,total_articles,high_priority_articles,market_signal_articles,strategy_briefing_articles,top_strategic_angle,top_market_focus,top_market_signal
2026-05-13 15:34:36,Selective Capital Re-entry,Financing Stress,High,30,14,15,16,Financing Risk,Other / Unknown,Deal Size Signal
2026-05-13 15:43:07,Selective Capital Re-entry,Financing Stress,High,30,14,15,16,Financing Risk,Other / Unknown,Deal Size Signal
2026-05-13 15:54:24,Selective Capital Re-entry,Financing Stress,High,30,14,15,16,Financing Risk,Other / Unknown,Deal Size Signal
2026-05-13 16:03:46,Selective Capital Re-entry,Financing Stress,High,30,14,15,16,Financing Risk,Other / Unknown,Deal Size Signal
2026-05-13 16:12:36,Selective Capital Re-entry,Financing Stress,High,30,14,15,16,Financing Risk,Other / Unknown,Deal Size Signal
2026-05-13 16:43:20,Selective Capital Re-entry,Financing Stress,High,30,14,15,16,Financing Risk,Other / Unknown,Deal Size Signal
2026-05-13 17:03:20,Selective Capital Re-entry,Financing Stress,High,30,14,15,16,Financing Risk,Other / Unknown,Deal Size Signal
2026-05-13 17:19:56,Selective Capital Re-entry,Financing Stress,High,30,14,15,16,Financing Risk,Other / Unknown,Deal Size Signal
2026-05-13 17:23:17,Selective Capital Re-entry,Developer Strategy Shift,High,48,19,17,22,Developer Strategy,Other / Unknown,Deal Size Signal
2026-05-14 08:30:46,Financing Stress,Developer Strategy Shift,High,28,13,9,14,Financing Risk,Other / Unknown,Rent Growth Signal
2026-05-14 08:40:22,Financing Stress,Developer Strategy Shift,High,28,13,9,14,Financing Risk,Other / Unknown,Rent Growth Signal
2026-05-14 08:51:09,Developer Strategy Shift,,High,49,22,19,25,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 09:03:36,Developer Strategy Shift,Financing Stress,High,40,22,18,23,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 09:14:22,Developer Strategy Shift,Financing Stress,High,40,22,18,23,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 09:24:18,Developer Strategy Shift,Financing Stress,High,42,22,19,24,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 09:32:21,Developer Strategy Shift,,High,45,26,19,28,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 09:46:45,Developer Strategy Shift,,High,45,26,19,28,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 10:48:46,Developer Strategy Shift,,High,45,26,19,28,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 11:01:45,Developer Strategy Shift,,High,60,30,21,33,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 11:16:50,Developer Strategy Shift,,High,60,30,21,33,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 11:18:46,Developer Strategy Shift,,High,45,26,19,28,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 11:35:17,Developer Strategy Shift,,High,60,30,21,33,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 11:37:39,Developer Strategy Shift,,High,45,26,19,28,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 11:54:50,Developer Strategy Shift,,High,60,30,21,33,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 11:59:46,Developer Strategy Shift,,High,45,26,19,28,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 12:42:06,Developer Strategy Shift,,High,45,26,19,28,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 12:53:18,Developer Strategy Shift,,High,45,26,19,28,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 13:06:00,Developer Strategy Shift,,High,45,26,19,28,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 13:16:54,Developer Strategy Shift,,High,45,26,19,28,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 13:19:23,Developer Strategy Shift,,High,60,30,21,33,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 13:34:42,Developer Strategy Shift,,High,45,26,19,28,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 13:47:16,Developer Strategy Shift,,High,60,30,21,33,Developer Strategy,Other / Unknown,Rent Growth Signal
2026-05-14 13:58:12,Developer Strategy Shift,,High,45,26,19,28,Developer Strategy,Other / Unknown,Rent Growth Signal
