run_timestamp,total_articles,high_priority_articles,market_signal_articles,strategy_briefing_articles,llm_prompts_generated,gpt_analyzed_articles,gpt_enabled,output_folder
2026-05-13 15:00:35,30,14,15,16,16,0,False,output\runs\2026-05-13
2026-05-13 15:07:35,30,14,15,16,16,0,False,output\runs\2026-05-13
2026-05-13 15:16:23,48,19,17,22,22,0,False,output\runs\2026-05-13
2026-05-13 15:25:40,30,14,15,16,16,0,False,output\runs\2026-05-13
2026-05-13 15:34:36,30,14,15,16,16,0,False,output\runs\2026-05-13
2026-05-13 15:43:07,30,14,15,16,16,0,False,output\runs\2026-05-13
2026-05-13 15:54:24,30,14,15,16,16,0,False,output\runs\2026-05-13
2026-05-13 16:03:46,30,14,15,16,16,0,False,output\runs\2026-05-13
2026-05-13 16:12:36,30,14,15,16,16,0,False,output\runs\2026-05-13
2026-05-13 16:43:20,30,14,15,16,16,0,False,output\runs\2026-05-13
2026-05-13 17:03:20,30,14,15,16,16,0,False,output\runs\2026-05-13
2026-05-13 17:19:56,30,14,15,16,16,0,False,output\runs\2026-05-13
2026-05-13 17:23:17,48,19,17,22,22,0,False,output\runs\2026-05-13
2026-05-14 08:30:46,28,13,9,14,14,0,False,output\runs\2026-05-14
2026-05-14 08:40:22,28,13,9,14,14,0,False,output\runs\2026-05-14
2026-05-14 08:51:09,49,22,19,25,25,0,False,output\runs\2026-05-14
2026-05-14 09:03:36,40,22,18,23,23,0,False,output\runs\2026-05-14
2026-05-14 09:14:22,40,22,18,23,23,0,False,output\runs\2026-05-14
2026-05-14 09:24:18,42,22,19,24,24,0,False,output\runs\2026-05-14
2026-05-14 09:32:21,45,26,19,28,28,0,False,output\runs\2026-05-14
2026-05-14 09:46:45,45,26,19,28,28,0,False,output\runs\2026-05-14
2026-05-14 10:48:46,45,26,19,28,28,0,False,output\runs\2026-05-14
2026-05-14 11:01:45,60,30,21,33,33,0,False,output\runs\2026-05-14
2026-05-14 11:16:50,60,30,21,33,33,0,False,output\runs\2026-05-14
2026-05-14 11:18:46,45,26,19,28,28,0,False,output\runs\2026-05-14
2026-05-14 11:35:17,60,30,21,33,33,0,False,output\runs\2026-05-14
2026-05-14 11:37:39,45,26,19,28,28,0,False,output\runs\2026-05-14
2026-05-14 11:54:50,60,30,21,33,33,0,False,output\runs\2026-05-14
2026-05-14 11:59:46,45,26,19,28,28,0,False,output\runs\2026-05-14
2026-05-14 12:42:06,45,26,19,28,28,0,False,output\runs\2026-05-14
2026-05-14 12:53:18,45,26,19,28,28,0,False,output\runs\2026-05-14
2026-05-14 13:06:00,45,26,19,28,28,0,False,output\runs\2026-05-14
2026-05-14 13:16:54,45,26,19,28,28,0,False,output\runs\2026-05-14
2026-05-14 13:19:23,60,30,21,33,33,0,False,output\runs\2026-05-14
2026-05-14 13:34:42,45,26,19,28,28,0,False,output\runs\2026-05-14
